Date,Open,High,Low,Close,Volume
2016-02-11 09:30:00,10.13,10.66,9.8,10.63,478832
2016-02-11 10:00:00,10.63,10.88,10.22,10.24,476166
2016-02-11 11:00:00,10.24,10.39,10.08,10.3,259197
2016-02-11 12:00:00,10.3,10.32,10.16,10.21,101439
2016-02-11 13:00:00,10.21,10.27,10.13,10.19,102774
2016-02-11 14:00:00,10.18,10.29,10.12,10.24,147843
2016-02-11 15:00:00,10.24,10.27,10.0,10.05,246200
2016-02-12 09:30:00,10.33,10.47,9.88,9.9,155152
2016-02-12 10:00:00,9.91,9.92,9.58,9.79,337390
2016-02-12 11:00:00,9.79,10.12,9.79,9.89,145073
2016-02-12 12:00:00,9.9,10.1,9.87,9.99,64299
2016-02-12 13:00:00,9.99,10.0,9.8,9.83,53528
2016-02-12 14:00:00,9.84,10.03,9.84,9.98,67772
2016-02-12 15:00:00,9.97,10.14,9.97,10.07,114802
2016-02-16 09:30:00,10.58,10.86,10.48,10.62,190875
2016-02-16 10:00:00,10.64,10.68,10.44,10.49,123077
2016-02-16 11:00:00,10.49,10.52,10.27,10.4,90496
2016-02-16 12:00:00,10.4,10.46,10.29,10.36,50966
2016-02-16 13:00:00,10.34,10.44,10.31,10.39,49968
2016-02-16 14:00:00,10.38,10.43,10.29,10.34,74689
2016-02-16 15:00:00,10.34,10.42,10.3,10.33,127485
2016-02-17 09:30:00,10.6,10.65,10.45,10.6,98899
2016-02-17 10:00:00,10.6,11.15,10.6,11.12,255131
2016-02-17 11:00:00,11.13,11.14,10.91,11.05,108525
2016-02-17 12:00:00,11.06,11.22,11.0,11.14,71013
2016-02-17 13:00:00,11.13,11.21,11.1,11.1,48502
2016-02-17 14:00:00,11.1,11.29,11.08,11.24,68739
2016-02-17 15:00:00,11.25,11.28,11.19,11.25,97377
2016-02-18 09:30:00,11.52,11.53,11.1,11.34,129823
2016-02-18 10:00:00,11.32,11.38,11.15,11.28,102026
2016-02-18 11:00:00,11.28,11.28,11.03,11.16,81061
2016-02-18 12:00:00,11.16,11.18,11.07,11.08,29068
2016-02-18 13:00:00,11.08,11.11,10.98,11.01,39184
2016-02-18 14:00:00,11.01,11.21,11.01,11.21,35733
2016-02-18 15:00:00,11.22,11.23,11.08,11.12,58022
2016-02-19 09:30:00,10.91,11.12,10.83,11.09,79209
2016-02-19 10:00:00,11.1,11.1,10.91,10.94,63668
2016-02-19 11:00:00,10.93,11.04,10.9,11.01,45083
2016-02-19 12:00:00,11.01,11.1,11.01,11.1,28794
2016-02-19 13:00:00,11.1,11.11,11.03,11.05,24689
2016-02-19 14:00:00,11.05,11.09,11.0,11.01,27630
2016-02-19 15:00:00,11.01,11.17,11.01,11.1,85936
2016-02-22 09:30:00,11.34,11.82,11.32,11.65,172104
2016-02-22 10:00:00,11.65,11.76,11.65,11.76,124402
2016-02-22 11:00:00,11.76,11.9,11.71,11.89,78457
2016-02-22 12:00:00,11.89,11.93,11.74,11.75,61127
2016-02-22 13:00:00,11.75,11.86,11.74,11.82,51618
2016-02-22 14:00:00,11.82,11.86,11.77,11.79,60251
2016-02-22 15:00:00,11.79,11.86,11.75,11.85,97065
2016-02-23 09:30:00,11.74,12.12,11.58,12.09,168222
2016-02-23 10:00:00,12.09,12.1,11.67,11.74,162429
2016-02-23 11:00:00,11.75,11.92,11.68,11.82,70445
2016-02-23 12:00:00,11.82,11.99,11.8,11.97,67754
2016-02-23 13:00:00,11.97,12.09,11.82,11.87,64546
2016-02-23 14:00:00,11.86,12.01,11.86,11.9,41850
2016-02-23 15:00:00,11.9,11.94,11.79,11.81,95905
2016-02-24 09:30:00,11.52,11.62,11.19,11.45,154244
2016-02-24 10:00:00,11.46,11.57,11.24,11.45,142421
2016-02-24 11:00:00,11.45,11.66,11.36,11.64,84039
2016-02-24 12:00:00,11.64,11.75,11.62,11.72,69486
2016-02-24 13:00:00,11.72,11.83,11.71,11.75,53419
2016-02-24 14:00:00,11.76,11.97,11.74,11.84,77451
2016-02-24 15:00:00,11.84,11.96,11.82,11.93,94843
2016-02-25 09:30:00,11.91,12.14,11.78,11.84,87559
2016-02-25 10:00:00,11.83,11.99,11.68,11.84,88440
2016-02-25 11:00:00,11.84,11.95,11.83,11.92,48365
2016-02-25 12:00:00,11.9,12.03,11.89,11.99,36741
2016-02-25 13:00:00,11.99,12.32,11.94,12.31,93283
2016-02-25 14:00:00,12.31,12.57,12.22,12.37,162091
2016-02-25 15:00:00,12.36,12.53,12.31,12.51,152690
2016-02-26 09:30:00,12.58,12.8,12.49,12.59,163799
2016-02-26 10:00:00,12.59,12.66,12.5,12.64,175559
2016-02-26 11:00:00,12.63,12.76,12.46,12.54,97671
2016-02-26 12:00:00,12.54,12.57,12.33,12.54,74587
2016-02-26 13:00:00,12.54,12.65,12.44,12.59,79990
2016-02-26 14:00:00,12.6,12.69,12.55,12.63,65613
2016-02-26 15:00:00,12.63,12.73,12.62,12.69,114861
2016-02-29 09:30:00,12.83,13.09,12.64,12.87,244470
2016-02-29 10:00:00,12.88,12.93,12.75,12.83,186496
2016-02-29 11:00:00,12.84,12.97,12.8,12.94,150127
2016-02-29 12:00:00,12.95,12.99,12.92,12.98,79381
2016-02-29 13:00:00,12.98,12.99,12.75,12.81,136614
2016-02-29 14:00:00,12.82,12.83,12.67,12.73,99326
2016-02-29 15:00:00,12.73,12.83,12.61,12.79,185514
2016-03-01 09:30:00,12.95,13.02,12.81,12.85,63655
2016-03-01 10:00:00,12.86,13.06,12.85,12.99,107112
2016-03-01 11:00:00,12.98,13.01,12.83,12.9,64977
2016-03-01 12:00:00,12.9,12.97,12.84,12.86,58585
2016-03-01 13:00:00,12.86,12.86,12.68,12.76,66220
2016-03-01 14:00:00,12.76,12.78,12.18,12.38,279610
2016-03-01 15:00:00,12.37,12.46,12.27,12.42,204832
2016-03-02 09:30:00,12.26,12.48,12.1,12.19,119818
2016-03-02 10:00:00,12.19,12.5,12.19,12.3,145706
2016-03-02 11:00:00,12.31,12.39,12.27,12.31,67541
2016-03-02 12:00:00,12.3,12.45,12.29,12.36,67752
2016-03-02 13:00:00,12.36,12.57,12.35,12.48,67765
2016-03-02 14:00:00,12.49,12.56,12.43,12.55,59006
2016-03-02 15:00:00,12.54,12.57,12.44,12.56,81080
2016-03-03 09:30:00,12.55,12.55,12.28,12.47,83297
2016-03-03 10:00:00,12.46,12.68,12.41,12.59,115796
2016-03-03 11:00:00,12.57,12.65,12.45,12.54,42623
2016-03-03 12:00:00,12.53,12.69,12.52,12.69,41344
2016-03-03 13:00:00,12.69,12.98,12.69,12.94,100826
2016-03-03 14:00:00,12.94,13.12,12.91,13.07,101535
2016-03-03 15:00:00,13.08,13.16,12.99,13.05,142546
2016-03-04 09:30:00,13.2,13.5,13.17,13.21,205995
2016-03-04 10:00:00,13.21,13.38,13.17,13.35,145860
2016-03-04 11:00:00,13.35,13.53,13.35,13.47,124963
2016-03-04 12:00:00,13.47,13.6,13.46,13.59,99736
2016-03-04 13:00:00,13.59,13.6,13.5,13.53,69271
2016-03-04 14:00:00,13.54,13.54,13.3,13.36,109022
2016-03-04 15:00:00,13.33,13.42,13.28,13.4,89265
2016-03-07 09:30:00,13.17,13.59,13.16,13.47,107244
2016-03-07 10:00:00,13.47,13.55,13.31,13.36,96699
2016-03-07 11:00:00,13.36,13.8,13.35,13.7,96881
2016-03-07 12:00:00,13.7,13.98,13.7,13.85,107880
2016-03-07 13:00:00,13.85,13.88,13.77,13.88,55648
2016-03-07 14:00:00,13.87,13.9,13.66,13.73,62943
2016-03-07 15:00:00,13.74,13.82,13.67,13.67,87007
2016-03-08 09:30:00,13.57,13.83,13.57,13.65,91975
